"Emission summary data for Carbon Dioxide as Carbon (kilotonne)"
Sectors,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Agriculture,359.449236683364,378.645776083891,341.887446364372,287.013308096647,293.208075397594,294.305717830276,330.76820125773,311.680444195042,291.31126485249,270.17802634342,260.928397820141,220.795614556586,204.665718708367,257.878316419793,357.272627882159,429.871989008069,425.409862639294,431.699845843525,435.836996515901,442.791784185632,417.251797785199,418.365121079736,403.080261408689,355.698160199213,380.489360434146,371.528255421216,372.618907729954,352.307325588011,352.657303528746,392.468869217902,363.674224441262,391.325737038285,394.567843905946
"Energy - energy industries",64926.2940061711,64189.8273970072,61239.5947714392,56947.143816376,55774.4314259586,55226.3254250667,55503.4747695623,52548.182730623,54121.9073853245,51535.1557579357,54484.0214644027,57447.9812161708,56614.8585723887,58726.0216272428,58240.0633544073,58325.7744467322,59950.9988297449,58575.0218059281,57047.5133580245,50743.0238180452,52743.1573761887,48862.0197724131,51867.3431440866,48543.9594424896,41820.2231321734,36478.4115358415,30443.0998761952,27672.4004061263,25702.690528476,23578.6820795034,20805.2287822953,21651.8164482185,21909.1892483708
"Energy - fugitive emissions from fuels",1851.01898418281,1707.35922384529,1757.50371081428,1809.71199125246,2025.13558063216,2274.86469136474,2374.59021666182,1966.57559585876,2047.2536711903,1683.35849272874,1758.02870894168,1770.83535882049,1685.11600406153,1517.23034920286,1532.42099810396,1635.97041555384,1426.28351879822,1478.58200993654,1298.92166907515,1312.40758816566,1273.21660064704,1195.02336192077,984.04547337634,1131.76237531106,1184.98439608654,1240.67979277778,1216.98590247684,1148.54850130848,1198.9782750821,1158.17561965383,925.070879022645,755.577835755809,639.536181784915
"Energy - industry and other combustion",20110.2768694926,21081.1282107614,20476.4049530264,19807.3262553406,19539.9263825672,18786.4205321377,18715.5972491525,18636.4584268939,18457.546542677,18360.4474268447,18887.4909773655,18406.4882848136,16629.9077452809,16739.0369025648,16142.830756862,16399.7704649166,15578.0078626122,15296.0888939923,13826.3433032617,12003.2779741573,12487.1876668013,11718.183755444,11125.6092095815,10703.0998843753,10565.6718411446,10195.3662899698,9895.29204630443,10059.7214504624,10412.2748994436,10100.5894801305,9583.76335034698,9998.40309961151,9689.53365479255
"Energy - Mobile Combustion",221.45801494538,207.543233937231,204.458969729372,204.910769463128,213.355291220991,216.53479634843,216.850224278223,218.061872327613,219.007525494166,219.552036227745,220.493556168622,221.669369623622,222.281935585597,222.33402761864,248.139633290234,213.440986496999,220.711130159735,226.823040865233,191.72705890316,97.4621028907686,116.307407579109,137.4944112368,135.76735971983,123.485397830651,131.214883948076,148.213161556905,166.971329727723,163.625355999417,177.965437808569,169.257811407452,112.01829477026,164.106934807065,202.261650273007
"Energy - transport",34475.0594959751,33960.3818213886,34284.1098753422,34643.6363770701,34978.6612913165,34801.8893624139,36045.5211706854,36202.3197786455,35971.7842085814,36406.8395725984,35905.1362817792,35931.9211009729,36758.9863065719,36630.4794565096,36983.9987320606,37088.3106193391,37131.7157859353,37456.7318249389,36051.7868950192,34716.9520083651,34205.3410784726,33582.3455958489,33236.4861851828,32835.2413801507,33212.2665673885,33831.2738151866,34507.3100949021,34547.5750004768,34076.2993179746,33600.1532346873,26933.6046873068,29741.3621010151,30289.0047799658
"Industrial processes",11779.791820472,11114.1033550618,10898.9667145356,10788.56742547,11423.9850277901,11613.0679810558,12083.467481947,11751.8003270633,11090.4067073822,11265.1798556577,10526.2765815346,9714.14282915518,8996.85215409877,9810.97678261553,10201.5267059985,9868.04452199211,9964.76380456259,10335.5889041578,9612.25125941609,7208.69731907853,7241.58767452191,6767.64140606437,7121.8086924706,8267.68463757127,8230.13049340577,7692.54581143714,6268.6616139723,6274.75727620834,5889.2182473013,5941.24364923205,5771.57406362524,5529.49917638307,5019.98032270644
"Land use, land use change and forestry",900.819208112316,767.159673750987,545.964150321426,392.19994080632,289.178408465923,294.962480993978,30.3487845715836,-118.042992472832,-323.766063076012,-277.836855236184,-345.172841595054,-510.815489801225,-729.007143832646,-778.083955878101,-990.086363387083,-1088.45442308238,-1192.17658652449,-1287.35677506208,-1505.11187935762,-1522.92084490861,-1545.10776780917,-1715.03277283765,-1659.59585100566,-1687.59717987849,-1786.09302385233,-1741.96348878363,-1727.09169582833,-1794.14807777841,-1657.52244076038,-1561.72084278628,-1696.23389757322,-1759.35073559196,-1697.76647555233
"Residential/Commercial / Institutional",30517.8407877304,33658.2387731627,32832.170792341,33734.02376753,32396.2746645672,31304.4812282553,34881.8839337135,32236.8854638887,33116.9888186487,33539.1814141168,33360.2635890479,34184.0166746505,32049.2821761524,32220.5785561037,33000.5855542501,31884.6700676317,30534.9821857372,29173.1278058557,30601.5695204219,28643.3273530706,31566.719779453,25792.629723919,28426.4216442199,28614.2989904437,24409.7346623539,25533.7610750298,25895.3959477023,25364.6885868939,26127.7340366038,25291.5128898543,24917.2041241302,26178.0914411904,22723.3146692414
Waste,394.136481648562,385.623333674413,384.008152784589,370.189915775432,317.258135562334,308.217804816686,310.121143787123,199.126510836202,200.21305851342,186.467352005091,193.532949819543,176.223156665176,172.518005533271,166.810925498855,161.695593164997,147.054829404744,104.715548046416,123.558421044086,109.295073596187,100.958669473649,96.5000605337386,90.5753358601702,88.8416252644966,87.7453246138769,89.3586230237997,84.8248008256416,88.3765934600394,85.038772000213,83.4182689953631,82.4994604206922,83.5080962787036,91.6062331566902,96.7030372210282
